-20	0.01	0.01	0.01	0.01	0.014355293
-19.9	0.01	0.01	0.01	0.01	0.014687974
-19.8	0.02	0.01	0.01	0.01	0.015028325
-19.7	0.02	0.01	0.01	0.01	0.015376521
-19.6	0.02	0.01	0.01	0.01	0.01573274
-19.5	0.02	0.01	0.01	0.01	0.016097166
-19.4	0.02	0.01	0.01	0.01	0.016469985
-19.3	0.02	0.01	0.01	0.01	0.016851388
-19.2	0.02	0.01	0.01	0.01	0.017241571
-19.1	0.02	0.01	0.01	0.01	0.017640733
-19	0.02	0.01	0.01	0.01	0.018049079
-18.9	0.02	0.01	0.01	0.01	0.018466817
-18.8	0.02	0.02	0.01	0.01	0.01889416
-18.7	0.02	0.02	0.01	0.01	0.019331326
-18.6	0.02	0.02	0.01	0.01	0.019778537
-18.5	0.02	0.02	0.01	0.02	0.020236023
-18.4	0.02	0.02	0.01	0.02	0.020704014
-18.3	0.02	0.02	0.01	0.02	0.021182749
-18.2	0.02	0.02	0.01	0.02	0.021672471
-18.1	0.02	0.02	0.01	0.02	0.022173428
-18	0.02	0.02	0.01	0.02	0.022685873
-17.9	0.02	0.02	0.01	0.02	0.023210067
-17.8	0.02	0.02	0.01	0.02	0.023746274
-17.7	0.02	0.02	0.01	0.02	0.024294764
-17.6	0.02	0.02	0.01	0.02	0.024855814
-17.5	0.03	0.02	0.01	0.02	0.025429707
-17.4	0.03	0.02	0.01	0.02	0.026016732
-17.3	0.03	0.02	0.02	0.02	0.026617183
-17.2	0.03	0.02	0.02	0.02	0.027231362
-17.1	0.03	0.02	0.02	0.02	0.027859576
-17	0.03	0.02	0.02	0.02	0.02850214
-16.9	0.03	0.02	0.02	0.02	0.029159376
-16.8	0.03	0.02	0.02	0.02	0.02983161
-16.7	0.03	0.02	0.02	0.02	0.030519179
-16.6	0.03	0.03	0.02	0.02	0.031222424
-16.5	0.03	0.03	0.02	0.02	0.031941695
-16.4	0.03	0.03	0.02	0.02	0.03267735
-16.3	0.03	0.03	0.02	0.03	0.033429751
-16.2	0.03	0.03	0.02	0.03	0.034199272
-16.1	0.03	0.03	0.02	0.03	0.034986294
-16	0.04	0.03	0.02	0.03	0.035791202
-15.9	0.04	0.03	0.02	0.03	0.036614395
-15.8	0.04	0.03	0.02	0.03	0.037456277
-15.7	0.04	0.03	0.02	0.03	0.038317261
-15.6	0.04	0.03	0.02	0.03	0.039197767
-15.5	0.04	0.03	0.02	0.03	0.040098227
-15.4	0.04	0.03	0.02	0.03	0.041019081
-15.3	0.04	0.03	0.02	0.03	0.041960775
-15.2	0.04	0.03	0.02	0.03	0.042923769
-15.1	0.04	0.04	0.02	0.03	0.043908529
